sku_id,on_hand_units,on_order_units,lead_time_days,reorder_point,lead_time_demand,forecast_6w_demand,stock_gap,stockout_risk,excess_units,capital_locked,overstock_risk,revenue_at_risk,action
SKU035,158,23.0,14,234,184.0,523.0,3.0,HIGH,0.0,0.0,LOW,10736.4,REORDER NOW
SKU036,29,27.0,20,118,83.0,171.0,27.0,HIGH,0.0,0.0,LOW,42381.09,REORDER NOW
SKU037,183,102.0,21,156,125.0,251.0,-160.0,LOW,0.0,0.0,LOW,0.0,HEALTHY
SKU038,27,3.0,3,20,38.0,186.0,8.0,HIGH,0.0,0.0,LOW,15165.68,REORDER NOW
SKU039,40,36.0,17,77,88.0,167.0,12.0,HIGH,0.0,0.0,LOW,32624.04,REORDER NOW
SKU040,213,77.0,14,127,130.0,353.0,-160.0,LOW,0.0,0.0,LOW,0.0,HEALTHY
SKU041,1382,85.0,18,268,253.0,472.0,-1214.0,LOW,910.0,4360201.3,HIGH,0.0,MARKDOWN / CLEAR
SKU042,92,43.0,9,62,61.0,182.0,-74.0,LOW,0.0,0.0,LOW,0.0,HEALTHY
SKU043,93,57.0,21,155,108.0,225.0,-42.0,LOW,0.0,0.0,LOW,0.0,HEALTHY
SKU044,26,10.0,10,26,40.0,116.0,4.0,HIGH,0.0,0.0,LOW,7222.2,REORDER NOW
SKU045,769,0.0,7,45,32.0,198.0,-737.0,LOW,571.0,2500049.27,HIGH,0.0,MARKDOWN / CLEAR
SKU046,57,28.0,17,38,43.0,75.0,-42.0,LOW,0.0,0.0,LOW,0.0,HEALTHY
SKU047,245,65.0,15,201,226.0,424.0,-84.0,LOW,0.0,0.0,LOW,0.0,HEALTHY
SKU048,93,52.0,8,256,272.0,785.0,127.0,HIGH,0.0,0.0,LOW,335245.71,REORDER NOW
SKU049,21,0.0,6,50,38.0,216.0,17.0,HIGH,0.0,0.0,LOW,19660.33,REORDER NOW
SKU050,184,103.0,14,232,165.0,433.0,-122.0,LOW,0.0,0.0,LOW,0.0,HEALTHY
SKU051,155,30.0,3,101,185.0,1058.0,0.0,MEDIUM,0.0,0.0,LOW,0.0,HEALTHY
SKU052,29,10.0,6,21,14.0,90.0,-25.0,LOW,0.0,0.0,LOW,0.0,HEALTHY
SKU053,39,39.0,6,168,169.0,781.0,91.0,HIGH,0.0,0.0,LOW,614860.61,REORDER NOW
SKU054,23,18.0,3,24,47.0,241.0,6.0,HIGH,0.0,0.0,LOW,52947.36,REORDER NOW
SKU055,100,29.0,6,69,44.0,284.0,-85.0,LOW,0.0,0.0,LOW,0.0,HEALTHY
SKU056,1048,77.0,9,108,182.0,552.0,-943.0,LOW,496.0,769980.48,HIGH,0.0,MARKDOWN / CLEAR
SKU057,36,9.0,19,124,79.0,157.0,34.0,HIGH,0.0,0.0,LOW,116452.38,REORDER NOW
SKU058,87,24.0,6,165,141.0,780.0,30.0,HIGH,0.0,0.0,LOW,330151.5,REORDER NOW
SKU059,178,31.0,9,100,116.0,362.0,-93.0,LOW,0.0,0.0,LOW,0.0,HEALTHY
SKU060,255,164.0,20,242,140.0,274.0,-279.0,LOW,0.0,0.0,LOW,0.0,HEALTHY
SKU061,126,66.0,7,136,77.0,544.0,-115.0,LOW,0.0,0.0,LOW,0.0,HEALTHY
SKU062,195,25.0,16,117,107.0,201.0,-113.0,LOW,0.0,0.0,LOW,0.0,HEALTHY
SKU063,171,94.0,19,175,139.0,260.0,-126.0,LOW,0.0,0.0,LOW,0.0,HEALTHY
SKU064,113,34.0,7,90,91.0,507.0,-56.0,LOW,0.0,0.0,LOW,0.0,HEALTHY
SKU065,20,7.0,6,16,13.0,67.0,-14.0,LOW,0.0,0.0,LOW,0.0,HEALTHY
SKU066,119,217.0,17,327,284.0,560.0,-52.0,MEDIUM,0.0,0.0,LOW,0.0,HEALTHY
SKU067,206,107.0,18,179,144.0,273.0,-169.0,LOW,0.0,0.0,LOW,0.0,HEALTHY
SKU068,290,174.0,19,251,169.0,307.0,-295.0,LOW,0.0,0.0,LOW,0.0,HEALTHY
SKU069,255,29.0,16,182,187.0,333.0,-97.0,LOW,0.0,0.0,LOW,0.0,HEALTHY
SKU070,565,62.0,10,275,398.0,1159.0,-229.0,LOW,0.0,0.0,LOW,0.0,HEALTHY
SKU071,127,52.0,12,227,146.0,475.0,-33.0,MEDIUM,0.0,0.0,LOW,0.0,HEALTHY
SKU072,182,49.0,7,107,85.0,429.0,-146.0,LOW,0.0,0.0,LOW,0.0,HEALTHY
SKU073,1710,27.0,14,246,191.0,572.0,-1546.0,LOW,1138.0,932898.26,HIGH,0.0,MARKDOWN / CLEAR
SKU074,20,7.0,5,87,74.0,372.0,47.0,HIGH,0.0,0.0,LOW,90224.02,REORDER NOW
SKU075,91,39.0,10,65,66.0,196.0,-64.0,LOW,0.0,0.0,LOW,0.0,HEALTHY
SKU076,29,14.0,3,17,36.0,163.0,-7.0,MEDIUM,0.0,0.0,LOW,0.0,HEALTHY
SKU077,209,70.0,12,167,143.0,381.0,-136.0,LOW,0.0,0.0,LOW,0.0,HEALTHY
SKU078,175,78.0,16,415,350.0,715.0,97.0,HIGH,0.0,0.0,LOW,976820.07,REORDER NOW
SKU079,374,188.0,21,284,169.0,336.0,-393.0,LOW,38.0,33711.32,LOW,0.0,HEALTHY
SKU080,113,68.0,16,84,94.0,184.0,-87.0,LOW,0.0,0.0,LOW,0.0,HEALTHY
SKU081,118,134.0,14,228,134.0,395.0,-118.0,LOW,0.0,0.0,LOW,0.0,HEALTHY
SKU082,48,6.0,8,34,38.0,118.0,-16.0,LOW,0.0,0.0,LOW,0.0,HEALTHY
SKU083,150,68.0,6,81,77.0,394.0,-141.0,LOW,0.0,0.0,LOW,0.0,HEALTHY
SKU084,34,15.0,3,26,49.0,280.0,0.0,MEDIUM,0.0,0.0,LOW,0.0,HEALTHY
SKU085,173,115.0,4,205,246.0,1240.0,-42.0,MEDIUM,0.0,0.0,LOW,0.0,HEALTHY
SKU086,206,29.0,12,151,165.0,445.0,-70.0,LOW,0.0,0.0,LOW,0.0,HEALTHY
SKU087,24,18.0,4,22,26.0,162.0,-16.0,LOW,0.0,0.0,LOW,0.0,HEALTHY
SKU088,55,13.0,15,63,48.0,108.0,-20.0,LOW,0.0,0.0,LOW,0.0,HEALTHY
SKU089,19,13.0,9,81,115.0,283.0,83.0,HIGH,0.0,0.0,LOW,565063.17,REORDER NOW
SKU090,60,17.0,4,55,68.0,379.0,-9.0,MEDIUM,0.0,0.0,LOW,0.0,HEALTHY
SKU091,212,44.0,19,146,91.0,182.0,-165.0,LOW,30.0,138869.1,LOW,0.0,HEALTHY
SKU092,231,112.0,15,184,140.0,281.0,-203.0,LOW,0.0,0.0,LOW,0.0,HEALTHY
SKU093,389,144.0,17,228,175.0,320.0,-358.0,LOW,69.0,111702.03,MEDIUM,0.0,HEALTHY
SKU094,4426,55.0,6,305,232.0,1323.0,-4249.0,LOW,3103.0,1145038.03,HIGH,0.0,MARKDOWN / CLEAR
SKU095,266,235.0,9,829,889.0,2579.0,388.0,HIGH,0.0,0.0,LOW,579978.52,REORDER NOW
SKU096,90,25.0,6,64,58.0,279.0,-57.0,LOW,0.0,0.0,LOW,0.0,HEALTHY
SKU097,46,13.0,7,30,20.0,115.0,-39.0,LOW,0.0,0.0,LOW,0.0,HEALTHY
SKU098,646,106.0,14,757,429.0,1231.0,-323.0,LOW,0.0,0.0,LOW,0.0,HEALTHY
SKU099,40,76.0,10,164,145.0,403.0,29.0,HIGH,0.0,0.0,LOW,89208.93,REORDER NOW
SKU100,567,105.0,12,416,267.0,833.0,-405.0,LOW,0.0,0.0,LOW,0.0,HEALTHY
SKU101,556,20.0,20,154,100.0,196.0,-476.0,LOW,360.0,937414.8,HIGH,0.0,MARKDOWN / CLEAR
SKU102,63,28.0,6,74,53.0,343.0,-38.0,LOW,0.0,0.0,LOW,0.0,HEALTHY
SKU103,1430,100.0,13,206,150.0,390.0,-1380.0,LOW,1040.0,2103982.4,HIGH,0.0,MARKDOWN / CLEAR
SKU104,997,45.0,8,73,89.0,261.0,-953.0,LOW,736.0,2879636.8,HIGH,0.0,MARKDOWN / CLEAR
SKU105,52,47.0,13,84,50.0,185.0,-49.0,LOW,0.0,0.0,LOW,0.0,HEALTHY
SKU106,132,45.0,6,74,77.0,346.0,-100.0,LOW,0.0,0.0,LOW,0.0,HEALTHY
SKU107,87,32.0,20,81,71.0,111.0,-48.0,LOW,0.0,0.0,LOW,0.0,HEALTHY
SKU108,41,16.0,6,26,22.0,130.0,-35.0,LOW,0.0,0.0,LOW,0.0,HEALTHY
SKU109,87,25.0,9,73,57.0,163.0,-55.0,LOW,0.0,0.0,LOW,0.0,HEALTHY
SKU110,11,11.0,4,22,21.0,162.0,-1.0,MEDIUM,0.0,0.0,LOW,0.0,HEALTHY
SKU111,437,256.0,11,495,319.0,1023.0,-374.0,LOW,0.0,0.0,LOW,0.0,HEALTHY
SKU112,12,10.0,4,25,24.0,149.0,2.0,HIGH,0.0,0.0,LOW,5708.66,REORDER NOW
SKU113,85,18.0,21,182,115.0,224.0,12.0,HIGH,0.0,0.0,LOW,70887.36,REORDER NOW
SKU114,330,75.0,8,303,297.0,875.0,-108.0,LOW,0.0,0.0,LOW,0.0,HEALTHY
SKU115,156,30.0,20,125,94.0,180.0,-92.0,LOW,0.0,0.0,LOW,0.0,HEALTHY
SKU116,247,167.0,10,271,207.0,613.0,-207.0,LOW,0.0,0.0,LOW,0.0,HEALTHY
SKU117,137,90.0,17,123,122.0,235.0,-105.0,LOW,0.0,0.0,LOW,0.0,HEALTHY
SKU118,39,34.0,15,94,93.0,178.0,20.0,HIGH,0.0,0.0,LOW,100154.0,REORDER NOW
SKU119,1014,8.0,18,158,119.0,237.0,-903.0,LOW,777.0,3349429.44,HIGH,0.0,MARKDOWN / CLEAR
SKU120,155,132.0,18,182,128.0,269.0,-159.0,LOW,0.0,0.0,LOW,0.0,HEALTHY
SKU121,20,5.0,5,57,48.0,256.0,23.0,HIGH,0.0,0.0,LOW,190809.84,REORDER NOW
SKU122,236,100.0,16,268,175.0,377.0,-161.0,LOW,0.0,0.0,LOW,0.0,HEALTHY
SKU123,58,30.0,4,33,57.0,266.0,-31.0,LOW,0.0,0.0,LOW,0.0,HEALTHY
SKU124,222,153.0,20,188,134.0,279.0,-241.0,LOW,0.0,0.0,LOW,0.0,HEALTHY
SKU125,58,15.0,9,59,79.0,187.0,6.0,HIGH,0.0,0.0,LOW,28115.1,REORDER NOW
SKU126,2174,67.0,3,62,83.0,504.0,-2158.0,LOW,1670.0,7636242.0,HIGH,0.0,MARKDOWN / CLEAR
SKU127,146,121.0,6,182,126.0,742.0,-141.0,LOW,0.0,0.0,LOW,0.0,HEALTHY
SKU128,144,30.0,15,226,342.0,676.0,168.0,HIGH,0.0,0.0,LOW,1468400.64,REORDER NOW
SKU129,48,43.0,16,152,137.0,251.0,46.0,HIGH,0.0,0.0,LOW,436386.82,REORDER NOW
SKU130,206,165.0,19,644,404.0,755.0,33.0,HIGH,0.0,0.0,LOW,52321.5,REORDER NOW
SKU131,12,3.0,5,7,4.0,30.0,-11.0,LOW,0.0,0.0,LOW,0.0,HEALTHY
SKU132,23,35.0,6,55,46.0,276.0,-12.0,LOW,0.0,0.0,LOW,0.0,HEALTHY
SKU133,51,31.0,5,44,42.0,235.0,-40.0,LOW,0.0,0.0,LOW,0.0,HEALTHY
SKU134,70,32.0,17,46,41.0,84.0,-61.0,LOW,0.0,0.0,LOW,0.0,HEALTHY
SKU135,299,159.0,21,174,152.0,290.0,-306.0,LOW,9.0,23405.94,LOW,0.0,HEALTHY
SKU136,157,7.0,21,55,50.0,103.0,-114.0,LOW,54.0,82276.56,HIGH,0.0,MARKDOWN / CLEAR
SKU137,255,7.0,3,9,14.0,87.0,-248.0,LOW,168.0,311549.28,HIGH,0.0,MARKDOWN / CLEAR
SKU138,5,8.0,3,17,48.0,275.0,35.0,HIGH,0.0,0.0,LOW,49340.2,REORDER NOW
SKU139,2043,140.0,5,125,116.0,618.0,-2067.0,LOW,1425.0,637017.75,HIGH,0.0,MARKDOWN / CLEAR
SKU140,777,8.0,8,95,114.0,311.0,-671.0,LOW,466.0,1432446.72,HIGH,0.0,MARKDOWN / CLEAR
SKU141,340,86.0,19,162,178.0,366.0,-248.0,LOW,0.0,0.0,LOW,0.0,HEALTHY
SKU142,110,27.0,11,83,70.0,189.0,-67.0,LOW,0.0,0.0,LOW,0.0,HEALTHY
SKU143,225,57.0,10,223,175.0,563.0,-107.0,LOW,0.0,0.0,LOW,0.0,HEALTHY
SKU144,24,7.0,4,21,21.0,126.0,-10.0,LOW,0.0,0.0,LOW,0.0,HEALTHY
SKU145,4375,264.0,6,232,245.0,1340.0,-4394.0,LOW,3035.0,11445986.55,HIGH,0.0,MARKDOWN / CLEAR
SKU146,128,97.0,18,122,92.0,180.0,-133.0,LOW,0.0,0.0,LOW,0.0,HEALTHY
SKU147,143,76.0,10,116,111.0,296.0,-108.0,LOW,0.0,0.0,LOW,0.0,HEALTHY
SKU148,90,59.0,15,167,152.0,276.0,3.0,HIGH,0.0,0.0,LOW,25468.62,REORDER NOW
SKU149,1714,33.0,3,60,101.0,573.0,-1646.0,LOW,1141.0,1922984.35,HIGH,0.0,MARKDOWN / CLEAR
SKU150,505,38.0,9,55,101.0,268.0,-442.0,LOW,237.0,328723.74,HIGH,0.0,MARKDOWN / CLEAR
