sku_id,category,subcategory,launch_date,unit_cost,list_price,base_demand,demand_class
SKU077,Decor,Vase,2024-09-27,4066.96,6509.09,8.558413025949534,High
SKU078,Bath,Organizer,2024-09-21,4660.64,10070.31,17.513919871425955,Medium
SKU079,Storage,Organizer,2024-05-30,887.14,1667.61,7.845046613537324,Medium
SKU080,Lighting,Lamp,2024-10-07,1029.5,2183.93,3.220227959724599,Low
SKU081,Furniture,Shelf,2024-06-21,3174.25,4466.89,10.059858585858594,Medium
SKU082,Office,Desk,2024-10-18,3635.02,5568.07,2.8723423430300388,Low
SKU083,Kitchen,Utensil,2024-07-14,3985.18,8043.0,9.3488113329561,Medium
SKU084,Storage,Organizer,2024-11-08,1716.31,3358.68,5.956795615799607,Medium
SKU085,Storage,Rack,2024-02-22,2689.26,4771.38,28.50379806644765,Medium
SKU086,Decor,Cushion,2024-02-14,1606.96,2683.53,9.17512247111419,Medium
SKU087,Storage,Box,2024-11-16,2221.28,3506.31,3.574053288092216,Medium
SKU088,Storage,Rack,2024-01-12,2266.48,4188.09,2.174510917249838,Low
SKU089,Kitchen,Storage,2024-07-13,3345.36,6807.99,5.926785462306116,Medium
SKU090,Appliances,Kettle,2024-06-30,2327.67,4672.36,8.54205689236233,Medium
SKU091,Outdoor,Accessory,2024-07-03,4628.97,8696.98,4.451924355442626,Medium
SKU092,Outdoor,Planter,2024-04-13,4235.7,7915.88,6.263839920261269,Low
SKU093,Outdoor,Accessory,2024-09-28,1618.87,2753.43,7.46532249351438,Low
SKU094,Furniture,Chair,2024-09-02,369.01,818.66,32.275134830657976,High
SKU095,Appliances,Mixer,2024-03-20,862.46,1494.79,64.1392449867145,High
SKU096,Bath,Mat,2024-09-11,1761.52,3649.95,6.090558676699634,Medium
SKU097,Office,Chair,2024-04-20,1282.57,2438.61,2.5979456959919967,Low
SKU098,Furniture,Table,2024-10-02,4948.93,9570.08,31.69143590032774,High
SKU099,Bath,Towel,2024-06-14,2145.09,3076.17,8.739462904106421,Medium
SKU100,Storage,Box,2024-06-03,1008.16,1552.54,17.846434365186955,High
SKU101,Bath,Towel,2024-03-04,2603.93,5118.72,4.4314739383629815,Medium
SKU102,Lighting,Lamp,2024-03-21,4264.87,8612.77,6.267042671780099,Medium
SKU103,Appliances,Toaster,2024-07-21,2023.06,3877.2,9.490342090816041,Medium
SKU104,Furniture,Chair,2024-06-08,3912.55,8782.17,6.0520430429236916,Medium
SKU105,Kitchen,Storage,2024-02-09,1900.78,3561.6,4.146571077800714,Medium
SKU106,Outdoor,Planter,2024-05-11,4611.49,9280.04,7.295684185505902,Low
SKU107,Kitchen,Cookware,2024-03-26,4659.06,8482.37,2.882670961011323,Medium
SKU108,Furniture,Table,2024-01-03,1606.7,3355.09,2.8701531323924425,Medium
SKU109,Outdoor,Chair,2024-10-17,3878.73,8915.24,3.4846723439073455,Medium
SKU110,Storage,Box,2024-09-15,4373.97,6428.9,3.4390677521341027,Medium
SKU111,Bath,Mat,2024-11-13,4858.13,11580.84,24.139373269985338,Medium
SKU112,Bath,Organizer,2024-09-04,1928.52,2854.33,3.085823952128246,Low
SKU113,Office,Chair,2024-10-15,2485.38,5907.28,5.076386670736117,Medium
SKU114,Office,Chair,2024-01-28,2910.67,6380.66,21.838814721734483,High
SKU115,Lighting,Lamp,2024-01-19,528.88,774.68,2.928740938903004,Medium
SKU116,Kitchen,Storage,2024-09-12,4367.65,9287.38,15.56236662632172,High
SKU117,Office,Desk,2024-02-03,4333.19,5870.28,4.939268003623875,Medium
SKU118,Bath,Mat,2024-01-10,2186.37,5007.7,3.756993610381934,Medium
SKU119,Storage,Rack,2024-06-21,4310.72,7172.57,6.038679821594943,Medium
SKU120,Kitchen,Cookware,2024-03-31,4466.82,6910.05,5.71499140426677,Low
SKU121,Storage,Rack,2024-05-20,4994.09,8296.08,6.737560465291289,Medium
SKU122,Outdoor,Planter,2024-07-08,4988.63,10405.91,8.222332738407163,Medium
SKU123,Storage,Rack,2024-03-13,931.52,1614.93,5.9529176318552315,Low
SKU124,Storage,Box,2024-01-06,2430.42,4900.38,5.986670366474301,Medium
SKU125,Outdoor,Accessory,2024-11-13,2842.03,4685.85,4.389049656487374,High
SKU126,Appliances,Kettle,2024-04-17,4572.6,8715.46,12.30675900182549,Medium
SKU127,Bath,Mat,2024-01-09,1434.45,2422.24,19.122286417690454,Low
SKU128,Lighting,Lamp,2024-07-04,4022.28,8740.48,11.09290129553278,Medium
SKU129,Office,Organizer,2024-07-13,4128.8,9486.67,5.4118064086385465,Medium
SKU130,Bath,Towel,2024-07-04,778.9,1585.5,16.312584422863733,High
SKU131,Office,Chair,2024-02-16,4810.94,7015.09,0.8993631216136093,Low
SKU132,Furniture,Table,2024-01-22,2439.05,4614.42,6.301014024567961,Medium
SKU133,Outdoor,Planter,2024-07-28,584.48,1217.53,5.842856609866961,Low
SKU134,Kitchen,Storage,2024-05-10,2258.07,3052.33,2.073757595321215,Low
SKU135,Decor,Vase,2024-02-06,2600.66,4420.47,5.881906544153179,Medium
SKU136,Bedding,Pillow,2024-10-04,1523.64,2572.84,1.536255329120863,Low
SKU137,Outdoor,Accessory,2024-04-20,1854.46,4315.15,1.9629818718262384,Low
SKU138,Lighting,Light,2024-08-22,1007.13,1409.72,4.869330344807135,Low
SKU139,Furniture,Chair,2024-11-03,447.03,655.42,14.17010563449726,Medium
SKU140,Decor,Vase,2024-07-06,3073.92,6891.44,7.442507684120484,Low
SKU141,Bedding,Pillow,2024-05-31,3932.81,8842.0,6.082878019651411,Medium
SKU142,Decor,Wall Art,2024-05-29,3136.09,7476.07,4.061073069092894,Medium
SKU143,Decor,Vase,2024-06-29,3123.45,4926.22,11.953322265614931,Medium
SKU144,Appliances,Toaster,2024-01-26,440.22,754.45,2.8310232705269036,Low
SKU145,Bath,Organizer,2024-10-05,3771.33,6347.19,31.998626932550696,High
SKU146,Appliances,Mixer,2024-02-11,975.48,2026.8,4.226667479789838,Low
SKU147,Decor,Cushion,2024-03-28,377.93,904.29,7.444232231332014,Medium
SKU148,Furniture,Table,2024-10-23,4437.79,8489.54,6.698048930297692,Medium
SKU149,Appliances,Mixer,2024-05-27,1685.35,3449.58,12.280856287375816,High
SKU150,Bedding,Bedsheet,2024-07-15,1387.02,3145.18,4.266187353058569,Medium
